date,source,headline,hd,he,hf,hg,hh
4/13/20,CNBC,Stocks making the biggest moves after hours: Roku AMC Tesla and more   ,,,,,
4/13/20,CNBC,Stock buybacks: We need a new litmus test after the bailouts     ,,,,,
4/14/20,Bloomberg,Tesla Wooed by $1 Billion Missouri Package for Cybertruck Plant     ,,,,,
4/14/20,CNBC,Tesla shares pop after Credit Suisse upgrades stock says company will increase electric car lead    ,,,,,
4/14/20,CNBC,Tesla shares jump after hours as Goldman initiates with buy rating sees rally above $800    ,,,,,
4/14/20,CNBC,Analysts are bullish on stocks like Tesla Netflix and Zoom as earnings season gets underway    ,,,,,
4/14/20,CNBC,What to watch today: Dow set to jump at open as earnings seasons kicks off     ,,,,,
4/14/20,CNBC,Cramer's lightning round: Tesla goes higher. Period     ,,,,,
4/14/20,CNBC,Missouri city offers $1 billion in incentives for Tesla Cybertruck factory     ,,,,,
4/14/20,CNBC,Three major upgrades shake Wall Street     ,,,,,
4/14/20,CNBC,Stocks making the biggest moves in the premarket: JPMorgan J&J Roku Apple Disney Tesla & more,,,,,
4/14/20,CNBC,We're looking to open right after offices reopen: Related Companies CEO     ,,,,,
4/14/20,CNBC,Stocks making the biggest moves midday: Amazon Roku Tesla JPMorgan and more  ,,,,,
4/14/20,CNBC,Stock market live updates: Dow futures up 300 points JPMorgan up even after earnings decline    ,,,,,
4/15/20,Bloomberg,Goldman Says Buy Tesla and Stocks With Electric-Car Exposure     ,,,,,
4/15/20,CNBC,Analysts see buying opportunities in stocks like Tesla and Netflix ahead of their earnings reports     ,,,,,
4/15/20,CNBC,Stock market live updates: Futures fall earnings worse than expected Goldman a Tesla bull   ,,,,,
4/15/20,CNBC,What to watch today: Dow set to drop after Tuesday's sharp rebound     ,,,,,
4/15/20,CNBC,Stocks making the biggest moves midday: JC Penney Tesla Netflix Bank of America & more  ,,,,,
4/15/20,CNBC,5 things to know before the stock market opens Wednesday     ,,,,,
4/15/20,CNBC,Stocks making the biggest moves in the premarket: Goldman Sachs Bank of America Tesla Target & more  ,,,,,
4/15/20,CNBC,Manual transmission cars are disappearing but purists prefer to drive a stick shift    ,,,,,
